+1.0000000e+002 +4.4282795e+001 +1.7741907e+002
+1.0722672e+002 +4.2873085e+001 +1.7650793e+002
+1.1497570e+002 +4.4277180e+001 +1.4464406e+002
+1.2328468e+002 +4.4354061e+001 -1.6699695e+002
+1.3219412e+002 +4.0550167e+001 -1.7883261e+002
+1.4174742e+002 +3.9750099e+001 -1.7806207e+002
+1.5199110e+002 +3.7109352e+001 -1.7273383e+002
+1.6297508e+002 +3.6198269e+001 -1.7974651e+002
+1.7475284e+002 +3.7598957e+001 -1.6293643e+002
+1.8738174e+002 +3.5105873e+001 -1.7434406e+002
+2.0092329e+002 +3.3761131e+001 -1.7738867e+002
+2.1544347e+002 +3.1502623e+001 -1.7384807e+002
+2.3101297e+002 +3.0548040e+001 +1.7945345e+002
+2.4770764e+002 +2.8028477e+001 +1.7897636e+002
+2.6560876e+002 +2.5405800e+001 -1.7574364e+002
+2.8480359e+002 +2.2420710e+001 -1.7854471e+002
+3.0538556e+002 +1.7374378e+001 +1.7856226e+002
+3.2745493e+002 +9.4340916e+000 -1.3899585e+002
+3.5111917e+002 +9.7520294e+000 -5.1822006e+001
+3.7649359e+002 +1.6658081e+001 -3.1433075e+001
+4.0370172e+002 +2.0374178e+001 -3.0407341e+001
+4.3287613e+002 +2.2823071e+001 -3.0611082e+001
+4.6415887e+002 +2.4380148e+001 -3.5597607e+001
+4.9770236e+002 +2.5756502e+001 -3.9454662e+001
+5.3366992e+002 +2.6452625e+001 -4.3876247e+001
+5.7223676e+002 +2.6780258e+001 -4.9110722e+001
+6.1359070e+002 +2.7369169e+001 -5.4330215e+001
+6.5793323e+002 +2.7646004e+001 -5.9345646e+001
+7.0548022e+002 +2.7644382e+001 -6.5070503e+001
+7.5646332e+002 +2.7689972e+001 -7.1373093e+001
+8.1113086e+002 +2.7433500e+001 -7.8713005e+001
+8.6974902e+002 +2.6838959e+001 -8.5335533e+001
+9.3260333e+002 +2.5966923e+001 -9.1818977e+001
+1.0000000e+003 +2.5120390e+001 -9.8151344e+001
+1.0722672e+003 +2.3982672e+001 -1.0360796e+002
+1.1497570e+003 +2.2509268e+001 -1.0758141e+002
+1.2328467e+003 +2.0873127e+001 -1.0895752e+002
+1.3219412e+003 +1.9254267e+001 -1.0727339e+002
+1.4174741e+003 +1.8096716e+001 -1.0275877e+002
+1.5199111e+003 +1.7379086e+001 -9.6688477e+001
+1.6297509e+003 +1.7358427e+001 -9.2771164e+001
+1.7475284e+003 +1.7421556e+001 -9.2553909e+001
+1.8738174e+003 +1.7304218e+001 -9.4679420e+001
+2.0092330e+003 +1.6930576e+001 -9.8280525e+001
+2.1544346e+003 +1.6312090e+001 -1.0194328e+002
+2.3101296e+003 +1.5341963e+001 -1.0410318e+002
+2.4770764e+003 +1.4421222e+001 -1.0472941e+002
+2.6560879e+003 +1.3724170e+001 -1.0500384e+002
+2.8480359e+003 +1.3229222e+001 -1.0583124e+002
+3.0538555e+003 +1.2673898e+001 -1.0730936e+002
+3.2745491e+003 +1.1955622e+001 -1.0844673e+002
+3.5111917e+003 +1.1293850e+001 -1.0988224e+002
+3.7649358e+003 +1.0686249e+001 -1.1134294e+002
+4.0370173e+003 +9.9033079e+000 -1.1364678e+002
+4.3287612e+003 +9.2352924e+000 -1.1535030e+002
+4.6415889e+003 +8.5116644e+000 -1.1683371e+002
+4.9770234e+003 +7.8808017e+000 -1.1845178e+002
+5.3366992e+003 +7.1080852e+000 -1.2091020e+002
+5.7223677e+003 +6.2868218e+000 -1.2265987e+002
+6.1359072e+003 +5.4663196e+000 -1.2480062e+002
+6.5793320e+003 +4.7657218e+000 -1.2709574e+002
+7.0548022e+003 +4.0323844e+000 -1.2906432e+002
+7.5646333e+003 +3.0217783e+000 -1.3155098e+002
+8.1113081e+003 +2.2782257e+000 -1.3373239e+002
+8.6974902e+003 +1.3711103e+000 -1.3618118e+002
